Title,Post,Pre-training Results,Post Training Results
"Gynecologists, what would cause you to ask if your patient has ever given birth when they have not?","31F, 5'1 160 pounds.

I mean looking inside mid-exam. They see something that makes them believe maybe I lied about giving birth or wasn't truthful? I have never given birth and I've been asked twice after a doctor looks inside me. What are they seeing ??",What is the AP article about?,"1) How are you feeling, or is it in a particular way? 2) Does you like to drink caffeine? 3) So why not drink a glass of water?"
Surgeon said I was so anxious they struggled to anaesthetise me,"Last week I (40F) had a brachioplasty to remove a tonne of loose skin after weight loss. It was my seventh general anaesthetic in life (they've all been for relatively minor things) and as it was an elective surgery I remember feeling ok being on the tolley, in the room next to theatre where they put the cannula in you.

They gave me the initial relaxant stuff that makes you feel good n high, and I was talking to the two anaesthetists normally.

After the operation the surgeon came and told me that when they took me into theatre I got extremely anxious, on the verge of a panic attack and raving about potentially having a stroke. (I'm normal BMI, good health, no health issues that would make this likely). He wanted to reassure me that nothing bad happened.

He said they had to give me more proform? (I think) and I kept raving right up until I was intubated. The surgeon said that when I came round I was extremely distressed and in more pain than would be expected.

I dont remember any of this and am shocked. I'm worried that if I ever need to be put to sleep again my subconscious will bring this up and make it harder for the doctors. My questions are:

*How common is this? I'm also embarrassed as it sounds like I was obnoxious.

*Why do they give people the initial anaesthesia that makes you woozy while awake, then put you to sleep later? I don't understand the process. Wouldn't it make more sense just to knock people out in one fell swoop?

*What can I do to prevent this reoccurring?",How did I get the ad & ad retested?,1) Are you having an exam? 2) Are you a doctor? 3) Have you ever had a steroid test? 4) Are you having any changes to your blood test? 5) What was your baseline diagnosis?
"Cannot pass gas at all, doctors dumbfounded","Hi, english is not my first language so I apologise if the post is hard to follow. I've (M31) had this problem for about 3 years and it's steadily been getting worse. At first it became harder to pass gas, I was getting bloated more frequently and had to assume certain positions to be able to get gasses out. Today I'm bloated 24/7 with a constant pain in my left abdomen (at the end of my colon).

I've done a colonoscopy, sigmoidoscopy (?), the other one where a tube is inserted down the throat and through the stomach, MRI, colon-transit (with markers), X-ray while defecating, I've seen a dietist, done physical therapy, tried pretty much every possible medication and more.

The one problem doctors have been able to find is that my puborectalis-muscle is somewhat contracted, it's not relaxing as it should and making defecation harder. Despite this, I've also been told that this doesn't explain why my colon is retaining so much gas. I don't have Chrons or an ibd, no excess bacteria. Exercise pushes the gasses forward but it never gets past that one point and causes a lot of pain instead. If I stop eating the gasses get permanently stuck and I look pregnant.

This problem has turned my life upside-down, I'm not going out with friends anymore, I can't take care of my household, it's straining my relationship with my girlfriend and making it really hard to be a good father to my young son.

It's the worst right after doing no 2, and for several hours after it's as if my colon is completely blocked. It feels like my colon is folded, and in order to pass gas I need to find a position where I can get it straight enough to allow gasses to pass through, and even then I'm rarely successful. The more bloated I get the worse the pain becomes, it's always present down in my left abdomen and I'm convinced that it's because something is causing a blockage at that exact spot.

I had an apendectomy about 12 years ago and otherwise I'm completely healthy. I have a varied diet and exercise as much as I still can despite the pain. I don't drink and haven't smoked for 10 years. Doctors have all but given up on trying to find the cause. What could possibly be causing this?",Is it possible that my headaches were normal?,1) Are you a psychiatric doctor? 2) What are you doing? 3) Are you using a cancer serum? 4) Are you taking any medications to reduce your risk of tyiminerals? 5) Is your tyiminerals at your disposal? 5) How are you able to see the doctor? 6) Does it give you a sense of clarity? 5) Exactly what I was told I could be doing?
Hip/joint issues as a teen?,"I’m 14 years old, female, 173cm, 59kg and fairly active (i do about several sports twice a week each) and i’ve been having excessive popping and pain. My toes crack excessively, my hip locks, catches, hurts when doing activity and also pops. I quite literally feel it just stop then yank back into movement while catching on something. It’s to the point i can’t do a lot of simple exercises without it hurting or popping like mad (stuff like leg lifts) please help!
",Is there anything else I can do with my gf?,"1) Why was it a symptom of a chronic condition, or was it a disease symptom? 2) What are the symptoms of a chronic condition? 3) Did you find a doctor's report on a symptom?"
"How obvious would it be that somethings wrong, if a baby is exposed to drugs?","Let me first state that I do not do drugs, and I do not want my child near drugs, but without proof, I may not have a choice.

Age 13 months, male, 26 inches, 18 pounds, he obviously doesn't smoke, no medicine besides occasional tylenol and motrin, no diagnosis.

His dad is fighting for custody, but he smokes meth in his home, daily. He smokes in his bedroom, where he says his child wouldn't be allowed in, and thinks that makes it okay, but I know it seeps into the walls and all that.

Anyway, I saw a show where this baby that lived in a meth house was nonstop screaming, due to withdrawals. So would it always be that obvious, or could he have a small amount of drugs in his system, and it go unnoticed??

If he has to go with his dad, I was thinking I could buy an over the counter piss test and test him as soon as I get him back, just in case. But still, I want to know if it could go easily unnoticed, depending on how much is in his system.

Right now he's with me, and not exposed to anything, I'm just trying to prepare ahead. Should I tell his pediatrician that I believe he could be exposed when at his dads, so he can connect the dots if one day he has symptoms that I wouldn't think to connect to drugs??",Are you sick and not healthy?,1) What is the cause of your neponset and a lower bmi?
my MD said she’s never heard of this happening & i feel like a freak,"27F i had an IUD for 3 years and was having weird bleeding so i got an ultrasound and they found a growth. then they found THIS in my hysteroscopy. my doctor was all excited and said she’s never seen this before so of course im freaked out. i’ll add pics to the comments. it came back benign from pathology but i just am scared something is wrong w my body like why tf did this grow on my IUD? and do you think this means i’m more prone to certain diseases?
",What is the best option for you?,1) Were you tested for your hypersensitivity?
Is it reasonable to ask my doctor for something like propranolol for a job interview?,"26F, 165cm

take vyvanse for ADHD

I have a job interview later this week, and even on the first stage over the phone i was shaking while answering their questions. I feel as though mentally i feel prepared and fine but then I have this physical response in job interviews and i’m worried it’ll affect the outcome. Is this something that I could ask for? Could it help? is there anything else i can do?",Why am I a 40 year old female?,1) How is your bmi re-tested? 2) Have you seen a driosas? 3) Have you checked your lungs? 4) Have you had any tests done with an iidotis? 5) Are you undergoing a medical evaluation? 5) Do you have any sex? 6) Have you seen any sex or body in the past? 7) Do you have any dietary restrictions? 7) Do you have a dietary restrictions?
what is the normal amount of doctors visits for kids?,"My siblings have made allegations that my parents didn’t take us to the doctor enough as kids. I don’t really agree, but I’m curious if this sounds normal?

I went to the doctor maybe 5 times that I remember.

The times that I went, I had the “worst double ear infection” my doctor had ever seen and strep. When I got sick again later, my parents just gave me the old antibiotics or had my dentist relative give me some.

I had some things that I think could have warranted doctors visits, like pretty weird and I imagine severe behavioral issues, chronic UTIs (or that’s what I think they were, and gyn issues.

To get around sports physicals I would just have a playdate with the only physician in town’s daughter and the mom would “examine” me and sign the form.

I am F21 now and now have my own health insurance! When I was still on my parents’ as a young adult they would ask for me not to follow the doctor’s recs on some things.

How often are kids supposed to go? Is this normal? Were the other people my siblings are comparing themselves too brought in too much due to neurotic parents?!",How did I get tested on my t-shr.,1) Do you have any other issues?
My best friend is an alcoholic. I only see her a couple times a year. This visit her face looked super puffy and blotchy red. Does this physical presentation indicate any certain stage of alcoholism; i.e. organ failure?,"She has been heavily drinking for about a decade now. Her little brother died of alcoholism in his early 20's and I fear she's going to end up the same. Her family and her friends back home are in denial and or/enabling her.

Age :33

Weight: 135lb

Height: 5'7

Female

No medications

Does smoke",The results are based on a recent sex test,1) How did your symptoms last? 2) Do you have any symptoms?
I went into the ER with urinary and kidney symptoms—I left with an STD,"To clarify—I did not contract an STD in the ER lol. Also-my original post was deleted due to lack of info.

I’m 30F, 5’8”, 190lbs, non smoker, no meds.

I’m hoping someone with some knowledge can help me understand what’s going on here. Like the title says, I went in with bad urinary symptoms. After some testing, turns out I had no urinary infection, but I did have kidney stones. As I’m being discharged with antibiotics and whatnot, the NP asked me to come into her office to discuss something privately. I found this odd since I had my own private room in the ER, but I went with her anyway. She then told me I tested positive for an STD (trichomonas). I was so confused because I’m in a committed marriage and haven’t have another sexual partner in almost a decade. I expressed this and she said “that’s a conversation for you and your husband”. While in disbelief, I went through all the stages of grief in her office and the started asking questions. For example, I’ve been in the hospital A LOT since last June and have had 6 surgeries since October. I asked if I could have contracted this by being in the hospital, having many surgeries (with urinary catheters each time), etc. She assured me “you can only contract this by intercourse. There is no other possibility.” I kept pressing for any other possible explanation and all she had to offer was “I was with a partner for over a decade and found out he had another family, men can and will hide anything. If he tells you he hasn’t cheated, he’s gaslighting you.” She was very adamant. We spoke for a while and I ended up sitting there in tears over the news that my family just fell apart. She offered emotional support and gave me advice on how to approach the conversation with my husband. Once discharged, I went home and talked to my bff about it all and came up with a plan for how to address it. I’ve never been in a situation like this before. I was so scared, betrayed, hurt, pissed off, etc. Later on, I confronted my husband and asked for a divorce. He assured me he has not been with anyone since we’ve been together. Based on his body language, his words, and the way he was acting, I 100% believe he’s telling the truth as much as I didn’t think I would believe him. He went and got tested same day (results take up to 14 days to come back for males for some reason). He swears he’s never been with anyone else. I know I haven’t either. After we talked, we started reading about it online. Reputable sources say that sexual interaction is not the only way to contract this, in fact, it’s very common to contract this from a dirty toilet seat, uncleaned sex toy, urinary catheters, hospital admissions, using a damp towel, things like that. They say this infection is from a parasite so I guess it makes sense you can pick it up anywhere if that’s true.

So currently, I’m being treated with antibiotics. We’re awaiting his results. Does anyone have any insight on this? Anyone dealt with something like this? I don’t know what to believe. What are the possibilities I picked this up from being an inpatient in the hospital or from a towel or toilet seat? Give it to me straight Reddit. We have a family and I hope the ER NP was wrong. It just doesn’t make sense that the NP would so confidently tell me this information (my husband is cheating) with 100% certainty if it can be contracted in many other ways.",What did I have that I thought was a good sign that I was diagnosed with a disorder that caused my migraines,"1) Do you have any other symptoms, symptoms, or causes? 2) What kind of symptoms are you?"
"No insurance so need to ask, is this serious enough to schedule a Drs appt?","Everything im reading is confusing me. My (female, 26) blood pressure has stayed anywhere from 133/84 consistently everyday (I take it 5 times a day now since the ER doc told me to keep an eye on it if I can) and today I got this reading, 150/83, and every reading after has stayed above 138/82. I'm 5'5, 130 lbs, try to eat right, I drink a blueberry redbull every other day but besides that it's water and tea for me. Just looking for advice to see if I'm overreacting or if I need to suck it up and schedule a Drs appt.
",I was told that the test was a cancer test and I can’t talk to the Dr until Tuesday and am in tears thinking of all the worst case scenarios. I was convinced they would be normal again for this test and am devastated.,1) Did you check your results?
I can’t walk on my ankle and my doctors keep saying there isn’t anything wrong,"I’m an 18 year old female, about 5’2 and 64 kgs. I was relatively active and went on long (2 hours or so) walks every day in addition to dancing and cycling. In October of 2024, I was walking to class and suddenly I wasn’t able to apply any sort of pressure on my left ankle. It’s an extremely sharp pain in my Achilles. When the pain strikes I can’t stand straight and often lose my balance. It’s been hurting so bad for months now but I’ve had x-rays and ultrasounds done and they keep telling me nothing is wrong. I’m crying from the pain every night and I can’t sleep. I limp everywhere and I can’t do any of the things I used to enjoy doing. This is a last resort I don’t know what to do. I’ve been icing it, compressing it, elevating and resting for months. I wear running shoes even in the snow but it isn’t getting better. Does anyone know what is happening? I’m in so much pain and there was so injury preceding this I was simply walking on smooth, flat linoleum on the first floor in my school building…
",What is the cause of elevated LFT’s?,1) What is the risk of a poorer LFT? 2) Is there any other risk?
Please help super anxious,"I'm 21F and was taking my sertraline 250 mg inconsistently. Once i got back on tjem consistently, i have been dealing with small body jerks but only at rest so when i'm laying down watching tv or even sometimes sitting. They're very small so not too noticeable to others, but I can feel them. Online it says that myoclonic jerks are usually related to something serious and hypnic jerks are only while you're about to fall asleep. Why is this happening? Is it something serious? I have health ocd too so it's worrying me. My thumb also twitches in certain positions
",What is the last test I had with a migraine?,1) WHAH? 2) What's the level of the test?
2 Rare ANA Patterns?,"I recently (4 days ago) had some blood work done where my ANA was checked and got hit with some weird results. There was Midbody (AC 25) and Spindle Fibre (AC 27) patterns both at 1:180 titre. While I was able to find information on both individually I was not able to find anything on the co-occurrence of the two and the implications from that.

Background: -early 20’s, Female, Indian decent (resides in Canada), 5’0ft, 135lbs -Diagnosed Celiac disease (not recent), gluten free diet for over a year -Diagnosed ADHD, on 30 mg Vyvanse (started 3 weeks ago) -Father with miositosis, pancreatic cancer, as well as a “unknown autoimmune condition”, also 2 recent (1-3 years) ANA has come back negative, no data from when he was diagnosed with miositosis

Symptoms: -joint issues (mild and primarily leg) -muscle weakness -headaches, fatigue, nausea -episodes of confusion and dizziness (started 5 months ago happens once a month, longer duration each time (2 mins - 8 mins) -weight fluctuations -bunch of other small weird symptoms I can think of right now

Clinical Findings: -all blood work relatively normal -during pelvic/transvag ultrasound (referred for period pains) kidneys were imaged, right 9.9 cm left 9.5 cm -only significant finding was leukocytes in urine (250) and squamous/transitional epithelial cells (6-10), method was clean catch, not bacteria present (tested around December 2024, will update as I have the requisition but haven’t had the time to go) -everything else was normal but if u need specifications or are curious please as me for specific results and I will provide if I have them

Honestly have no idea where to go from here as I am waiting for a call back from my doctor so any advice would be appreciated. Drop what ever further testing/outcomes it could be.",What is the last time I had elevated LFT’s?,1) Is there any way you could re-test the LFT?
